"Address","Indexability","Indexability Status","Crawl Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks"
"https://downkingo.com/pt/blog/bem-vindo-ao-blog-downkingo/","Indexable","","5","","0","0","0","0,000","30","15","0","13","8","0"
"https://downkingo.com/pt/blog/guia-converter-formatos-video/","Indexable","","5","","0","0","0","0,000","30","14","0","17","13","0"
"https://downkingo.com/pt/blog/melhores-downloaders-video-open-source/","Indexable","","5","","0","0","0","0,000","31","15","0","18","14","0"
"https://downkingo.com/pt/blog/como-baixar-tiktok-sem-marca-dagua/","Indexable","","5","","0","0","0","0,000","30","14","0","12","8","0"
"https://downkingo.com/pt/blog/como-transcrever-audio-video-ia/","Indexable","","5","","0","0","0","0,000","30","14","0","14","10","0"
"https://downkingo.com/pt/blog/como-baixar-videos-youtube-2026/","Indexable","","5","","0","0","0","0,000","30","14","0","14","9","0"
"https://downkingo.com/en/blog/best-open-source-video-downloaders/","Indexable","","8","","0","0","0","0,000","31","15","0","18","14","0"
"https://downkingo.com/en/blog/welcome-to-downkingo-blog/","Indexable","","8","","0","0","0","0,000","30","15","0","13","8","0"
"https://downkingo.com/en/blog/how-to-transcribe-audio-video-ai/","Indexable","","8","","0","0","0","0,000","30","14","0","14","10","0"
"https://downkingo.com/en/blog/how-to-download-tiktok-without-watermark/","Indexable","","8","","0","0","0","0,000","30","14","0","12","8","0"
"https://downkingo.com/en/blog/convert-video-formats-guide/","Indexable","","8","","0","0","0","0,000","30","14","0","17","13","0"
"https://downkingo.com/en/blog/how-to-download-youtube-videos-2026/","Indexable","","8","","0","0","0","0,000","30","14","0","14","9","0"
