"Address","Occurrences","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Indexability","Indexability Status"
"https://downkingo.com/pt/blog/","1","Guias, tutoriais e novidades sobre o DownKingo — kit de ferramentas de mídia open source gratuito. Baixe vídeos do YouTube, TikTok, Instagram, converta formatos e transcreva áudio com IA.","187","1213","Indexable",""
"https://downkingo.com/pt/blog/guia-converter-formatos-video/","1","Converta formatos de vídeo: MP4, MKV, WebM, MP3 e mais. Entenda codecs vs containers, remuxing vs re-encoding e use o conversor gratuito do DownKingo. Guia 2026.","161","1077","Indexable",""
"https://downkingo.com/pt/blog/melhores-downloaders-video-open-source/","1","Compare os melhores downloaders de vídeo open source em 2026: yt-dlp, DownKingo, Tartube, Parabolic e Stacher. Recursos, plataformas e prós e contras honestos.","159","1053","Indexable",""
"https://downkingo.com/pt/blog/como-baixar-videos-youtube-2026/","1","Baixe vídeos do YouTube em 4K, 8K ou MP3 grátis com o DownKingo. Guia passo a passo com seleção de formato, opções de qualidade e extração de áudio em 2026.","156","1054","Indexable",""
"https://downkingo.com/en/youtube-downloader/","1","The best YouTube downloader for PC. Download videos in 4K, complete playlists, channels and convert to MP3 with maximum quality. Free, Open Source and ad-free.","159","1049","Indexable",""
"https://downkingo.com/en/blog/","1","Guides, tutorials, and updates about DownKingo — the free open-source video downloader and media toolkit. Download YouTube, TikTok, Instagram videos, convert formats, and transcribe audio with AI.","196","1276","Indexable",""
"https://downkingo.com/en/blog/welcome-to-downkingo-blog/","1","Discover the DownKingo blog: tutorials, release notes, and tips for downloading videos, converting formats, and transcribing audio with AI. Free and open source.","161","1014","Indexable",""
"https://downkingo.com/en/blog/how-to-transcribe-audio-video-ai/","1","Transcribe audio and video to text using AI with DownKingo. Powered by OpenAI Whisper, works 100% offline with multi-language support. Free, private, no limits.","160","1021","Indexable",""
"https://downkingo.com/en/blog/convert-video-formats-guide/","1","Convert video formats: MP4, MKV, WebM, MP3 and more. Learn codecs vs containers, remuxing vs re-encoding, and use DownKingo's free converter. Complete 2026 guide.","162","1088","Indexable",""
"https://downkingo.com/en/blog/how-to-download-youtube-videos-2026/","1","Download YouTube videos in 4K, 8K, or MP3 for free with DownKingo. Step-by-step guide covering format selection, quality options, and audio extraction in 2026.","159","1015","Indexable",""
